City,CurrTemp,WindSpeed,Humidity
Al,26.7°C / 80.1°F,3 mph,44%
Alexandria,25.8°C / 78.4°F,7 mph,83%
Dhahab,25.6°C / 78°F,11 mph,42%
El,26.3°C / 79.4°F,15 mph,40%
Hurghada,26.3°C / 79.4°F,17 mph,23%
Idkū,25.9°C / 78.7°F,9 mph,85%
Makadi,26.7°C / 80.1°F,13 mph,45%
Marsá,25.3°C / 77.6°F,6 mph,74%
Nuwaybi‘a,25.3°C / 77.6°F,7 mph,54%
Port,27.1°C / 80.8°F,10 mph,78%
Sharm,26.4°C / 79.6°F,15 mph,45%
Suez,25.8°C / 78.4°F,10 mph,69%
‘Izbat,26.5°C / 79.7°F,8 mph,78%
Bata,26.7°C / 80°F,10 mph,77%
Luba,26.5°C / 79.7°F,4 mph,89%
Malabo,26.8°C / 80.3°F,6 mph,87%
Mbini,26.6°C / 79.9°F,6 mph,80%
Río,26.8°C / 80.2°F,8 mph,83%
Assab,30.8°C / 87.5°F,12 mph,56%
Edd,31.2°C / 88.1°F,2 mph,61%
Massawa,31.1°C / 87.9°F,3 mph,61%
Cocobeach,26.2°C / 79.1°F,9 mph,75%
Libreville,25.7°C / 78.2°F,9 mph,75%
Mayumba,21.2°C / 70.1°F,2 mph,92%
Port-Gentil,23.7°C / 74.7°F,8 mph,77%
Accra,25.5°C / 77.9°F,14 mph,74%
Apam,25.2°C / 77.4°F,9 mph,82%
Axim,24.9°C / 76.8°F,8 mph,81%
Cape,24.9°C / 76.8°F,11 mph,82%
Elmina,24.7°C / 76.5°F,11 mph,82%
Keta,26.2°C / 79.2°F,11 mph,86%
Mumford,25.2°C / 77.4°F,7 mph,86%
Saltpond,25.1°C / 77.1°F,8 mph,83%
Sekondi-Takoradi,24.6°C / 76.2°F,9 mph,83%
Shama,24.6°C / 76.2°F,9 mph,81%
Takoradi,24.6°C / 76.3°F,8 mph,81%
Tema,25.6°C / 78°F,11 mph,79%
Teshi,25.6°C / 78°F,8 mph,83%
Winneba,25.3°C / 77.5°F,8 mph,86%
Boffa,27.6°C / 81.7°F,5 mph,92%
Camayenne,27.6°C / 81.6°F,12 mph,87%
Conakry,27.6°C / 81.6°F,12 mph,85%
Bissau,28.8°C / 83.8°F,5 mph,78%
Bolama,28.2°C / 82.8°F,16 mph,84%
Bubaque,28°C / 82.4°F,15 mph,87%
Cacheu,27.7°C / 81.8°F,9 mph,76%
Abidjan,26.4°C / 79.5°F,9 mph,88%
Grand-Bassam,26.2°C / 79.1°F,11 mph,82%
Grand-Lahou,26.8°C / 80.2°F,14 mph,84%
San-Pédro,27.4°C / 81.3°F,13 mph,83%
Sassandra,27.1°C / 80.8°F,7 mph,86%
Tabou,27.8°C / 82°F,11 mph,79%
Gazi,26.3°C / 79.4°F,7 mph,83%
Kilifi,26.4°C / 79.5°F,13 mph,78%
Kipini,26.6°C / 79.9°F,15 mph,79%
Lamu,26.7°C / 80°F,18 mph,80%
Malindi,26.5°C / 79.7°F,13 mph,81%
Mombasa,26.3°C / 79.4°F,7 mph,78%
Shimoni,26.3°C / 79.4°F,16 mph,78%
Takaungu,26.4°C / 79.5°F,11 mph,85%
Wasini,26.3°C / 79.4°F,12 mph,79%
Buchanan,27.8°C / 82°F,11 mph,85%
Greenville,27.7°C / 81.9°F,15 mph,78%
Harper,27.8°C / 82.1°F,10 mph,77%
Monrovia,27.9°C / 82.2°F,15 mph,81%
River,27.7°C / 81.9°F,14 mph,82%
Robertsport,27.9°C / 82.3°F,16 mph,84%
Ambodifotatra,24.9°C / 76.9°F,20 mph,70%
Anakao,24.4°C / 76°F,15 mph,55%
Andoany,27.6°C / 81.7°F,7 mph,69%
Andovoranto,25.1°C / 77.2°F,8 mph,85%
Antalaha,25.6°C / 78°F,12 mph,85%
Antsiranana,25.9°C / 78.6°F,18 mph,77%
Fenoarivo,25.2°C / 77.4°F,9 mph,88%
Fort,22.9°C / 73.2°F,9 mph,88%
Mahajanga,26.1°C / 78.9°F,9 mph,57%
Mahavelona,25.1°C / 77.1°F,7 mph,88%
Manakara,24.7°C / 76.5°F,3 mph,77%
Mananara,24.8°C / 76.6°F,11 mph,89%
Maroantsetra,25.6°C / 78°F,4 mph,89%
Nosy,24.8°C / 76.7°F,5 mph,84%
Sambava,25.6°C / 78°F,17 mph,80%
Soanierana,24.8°C / 76.7°F,10 mph,87%
Toamasina,25.6°C / 78°F,8 mph,94%
Toliara,24.4°C / 76°F,18 mph,52%
Bambous,24.1°C / 75.4°F,13 mph,77%
Beau,24.2°C / 75.5°F,21 mph,67%
Bois,24.1°C / 75.4°F,17 mph,88%
Cap,24.3°C / 75.8°F,6 mph,67%
Grand,24.3°C / 75.8°F,5 mph,67%
Grand,24.3°C / 75.8°F,9 mph,65%
Grand,24.1°C / 75.4°F,13 mph,77%
Grande,24.2°C / 75.6°F,20 mph,65%
Grande,24.2°C / 75.6°F,16 mph,73%
Grande,24.1°C / 75.4°F,13 mph,77%
Mahébourg,24.2°C / 75.5°F,13 mph,77%
Petite,24.2°C / 75.6°F,15 mph,73%
Port,24.1°C / 75.3°F,18 mph,79%
Port,24.3°C / 75.7°F,29 mph,65%
Poste,24.2°C / 75.5°F,22 mph,67%
Quatre,24.1°C / 75.4°F,13 mph,77%
Rivière,24.3°C / 75.7°F,21 mph,66%
Roches,24.2°C / 75.6°F,23 mph,65%
Souillac,24.2°C / 75.5°F,19 mph,68%
Tamarin,24.2°C / 75.6°F,17 mph,68%
Agadir,19.1°C / 66.3°F,14 mph,51%
Al,20.8°C / 69.4°F,6 mph,78%
Asilah,21.1°C / 70°F,12 mph,90%
Azla,21°C / 69.8°F,8 mph,78%
Casablanca,21.9°C / 71.4°F,9 mph,73%
El,22°C / 71.6°F,14 mph,77%
Essaouira,19.6°C / 67.3°F,17 mph,61%
Kariat,22°C / 71.6°F,6 mph,71%
Larache,21.6°C / 70.8°F,11 mph,91%
Martil,21.1°C / 70°F,11 mph,73%
Mohammedia,21.8°C / 71.3°F,5 mph,100%
Nador,21.6°C / 70.9°F,6 mph,78%
Rabat,21.8°C / 71.3°F,5 mph,83%
Safi,20.7°C / 69.3°F,16 mph,78%
Salé,21.8°C / 71.2°F,5 mph,83%
Taghazout,19.1°C / 66.4°F,1 mph,65%
Tangier,21°C / 69.8°F,11 mph,39%
Tizgane,21.4°C / 70.5°F,2 mph,64%
António,26°C / 78.8°F,5 mph,93%
Beira,22.6°C / 72.6°F,7 mph,83%
Cidade,26.7°C / 80°F,6 mph,83%
Ilha,26.8°C / 80.3°F,8 mph,76%
Inhambane,24.5°C / 76.1°F,6 mph,89%
Maputo,21.8°C / 71.3°F,8 mph,79%
Matola,21.9°C / 71.4°F,3 mph,85%
Maxixe,24.5°C / 76.1°F,4 mph,94%
Mocímboa,26.7°C / 80.1°F,10 mph,87%
Pemba,26.8°C / 80.2°F,14 mph,74%
Quelimane,24.4°C / 76°F,5 mph,94%
Henties,14.8°C / 58.7°F,2 mph,54%
Lüderitz,12.7°C / 54.9°F,4 mph,44%
Mile,14.8°C / 58.7°F,6 mph,48%
Mile,14.8°C / 58.7°F,4 mph,52%
Oranjemund,12.9°C / 55.3°F,4 mph,84%
Swakopmund,14.4°C / 57.9°F,7 mph,41%
Terrace,14.7°C / 58.5°F,11 mph,63%
Torra,14.7°C / 58.5°F,6 mph,65%
Walvis,14.2°C / 57.6°F,8 mph,32%
Wlotzkasbaken,14.5°C / 58.1°F,2 mph,56%
Bonny,26.9°C / 80.4°F,8 mph,82%
Brass,26.9°C / 80.4°F,12 mph,70%
Burutu,27.2°C / 81°F,8 mph,72%
Calabar,27.2°C / 81°F,3 mph,82%
Ebute,27.1°C / 80.8°F,9 mph,80%
Esuk,27.2°C / 81°F,3 mph,90%
Lagos,27.1°C / 80.7°F,8 mph,83%
Okrika,26.9°C / 80.4°F,5 mph,87%
Port,26.9°C / 80.4°F,5 mph,84%
Dakar,26.2°C / 79.1°F,16 mph,72%
Grand,26.2°C / 79.1°F,16 mph,69%
Joal-Fadiout,26.5°C / 79.7°F,16 mph,61%
Kayar,25.8°C / 78.4°F,13 mph,74%
Mermoz,26.2°C / 79.1°F,14 mph,81%
Pikine,26.1°C / 79°F,11 mph,78%
Saint-Louis,24.8°C / 76.7°F,11 mph,78%
Warang,26.4°C / 79.5°F,14 mph,63%
Ziguinchor,27.6°C / 81.6°F,12 mph,51%
Grand,27.1°C / 80.8°F,21 mph,79%
La,27.2°C / 80.9°F,20 mph,77%
Mahé,26.9°C / 80.4°F,21 mph,78%
Victoria,26.9°C / 80.4°F,16 mph,88%
Bonthe,28°C / 82.4°F,12 mph,88%
Freetown,27.8°C / 82°F,14 mph,91%
Freetown,27.8°C / 82°F,14 mph,91%
Kassiri,28.5°C / 83.3°F,9 mph,91%
Konakridee,27.9°C / 82.3°F,10 mph,95%
Pepel,27.9°C / 82.3°F,8 mph,93%
Tintafor,27.7°C / 81.9°F,12 mph,92%
Bandarbeyla,23.4°C / 74.1°F,34 mph,64%
Berbera,29.9°C / 85.9°F,11 mph,41%
Bereeda,29.3°C / 84.7°F,7 mph,58%
Buur,26.5°C / 79.7°F,15 mph,80%
Cadale,26.8°C / 80.3°F,21 mph,77%
Hobyo,25.8°C / 78.4°F,30 mph,74%
Kismaayo,26.5°C / 79.7°F,19 mph,80%
Marka,26.5°C / 79.7°F,19 mph,83%
Mogadishu,26.8°C / 80.2°F,18 mph,82%
Qandala,30.5°C / 86.9°F,3 mph,51%
Alexander,12.9°C / 55.3°F,3 mph,84%
Amanzimtoti,21.9°C / 71.4°F,14 mph,56%
Arniston,15.7°C / 60.3°F,6 mph,83%
Ballitoville,21.7°C / 71.1°F,8 mph,61%
Betty's,15.3°C / 59.6°F,15 mph,85%
Camps,15.2°C / 59.3°F,9 mph,56%
Cape,15.9°C / 60.6°F,4 mph,91%
Cape,15°C / 59°F,10 mph,74%
Coffee,21.9°C / 71.4°F,6 mph,34%
Durban,21.8°C / 71.2°F,5 mph,85%
East,21.4°C / 70.6°F,3 mph,27%
Elands,13.2°C / 55.8°F,1 mph,91%
Gaansbaai,15.6°C / 60°F,8 mph,86%
Gordon's,15°C / 59°F,10 mph,87%
Hermanus,15.4°C / 59.7°F,13 mph,62%
Herolds,16.6°C / 61.8°F,3 mph,93%
Hondeklip,12.7°C / 54.9°F,4 mph,79%
Hout,15.4°C / 59.7°F,3 mph,88%
Jeffrey’s,18.7°C / 65.7°F,7 mph,73%
Kalk,15.4°C / 59.8°F,12 mph,91%
Kenton-on-Sea,19.8°C / 67.7°F,9 mph,41%
Kidd's,21.1°C / 70°F,7 mph,40%
Kidd's,21.1°C / 70°F,7 mph,40%
Knysna,16.8°C / 62.3°F,12 mph,25%
Kosi,22.8°C / 73.1°F,3 mph,90%
Lamberts,13.2°C / 55.7°F,4 mph,85%
Langebaan,15°C / 59°F,8 mph,93%
Margate,21.8°C / 71.3°F,18 mph,76%
Mazeppa,21.7°C / 71.1°F,5 mph,30%
Melkbosstrand,14.8°C / 58.7°F,9 mph,86%
Morgans,21.8°C / 71.2°F,8 mph,31%
Mossel,16.5°C / 61.7°F,6 mph,73%
Mtunzini,21.7°C / 71°F,15 mph,80%
Paternoster,14.7°C / 58.4°F,7 mph,89%
Plettenberg,17.1°C / 62.8°F,13 mph,32%
Port,20.2°C / 68.3°F,10 mph,40%
Port,21.8°C / 71.2°F,10 mph,53%
Port,18.7°C / 65.7°F,10 mph,72%
Port,12.6°C / 54.6°F,4 mph,80%
Port,21.9°C / 71.4°F,5 mph,36%
Port,21.8°C / 71.3°F,10 mph,56%
Pringle,15.4°C / 59.7°F,19 mph,85%
Richards,22.1°C / 71.8°F,13 mph,45%
Saldanha,15°C / 59°F,8 mph,91%
Salt,21.7°C / 71.1°F,8 mph,61%
Scottburgh,21.9°C / 71.4°F,13 mph,58%
Scottburgh,21.9°C / 71.4°F,13 mph,58%
Shelly,21.8°C / 71.2°F,9 mph,50%
Simon's,15.6°C / 60.1°F,15 mph,90%
Sodwana,22.7°C / 72.9°F,6 mph,91%
St,18.9°C / 66°F,8 mph,80%
St,13.9°C / 57°F,7 mph,91%
St,22.4°C / 72.3°F,13 mph,81%
Stilbaai,16.2°C / 61.1°F,5 mph,88%
Strand,15.1°C / 59.2°F,5 mph,76%
Struisbaai,15.7°C / 60.2°F,9 mph,82%
Sunset,14.9°C / 58.8°F,13 mph,89%
Table,14.9°C / 58.9°F,13 mph,89%
Umdloti,21.7°C / 71°F,7 mph,83%
Umhlanga,21.7°C / 71.1°F,7 mph,83%
Umkomaas,21.9°C / 71.4°F,10 mph,53%
Victoria,16.4°C / 61.6°F,11 mph,77%
Vleesbaai,16.4°C / 61.5°F,4 mph,89%
Wavecrest,21.8°C / 71.3°F,7 mph,30%
Witsand,15.9°C / 60.6°F,4 mph,92%
Yzerfontein,14.9°C / 58.8°F,7 mph,93%
Port,29.2°C / 84.5°F,3 mph,49%
Sawākin,29.3°C / 84.8°F,10 mph,37%
Bagamoyo,26.6°C / 79.8°F,7 mph,87%
Chake,26.4°C / 79.6°F,12 mph,80%
Dar,26.5°C / 79.7°F,5 mph,83%
Kilindoni,26.4°C / 79.5°F,18 mph,79%
Lindi,26.6°C / 79.8°F,5 mph,92%
Mafia,26.3°C / 79.4°F,19 mph,79%
Mahonda,26.5°C / 79.7°F,18 mph,77%
Mesale,26.4°C / 79.6°F,13 mph,81%
"Mkokotoni,",26.6°C / 79.8°F,9 mph,81%
Mtwara,26.6°C / 79.8°F,9 mph,92%
Nungwi,26.6°C / 79.8°F,10 mph,76%
Pemba,26.4°C / 79.6°F,9 mph,85%
Tanga,26.4°C / 79.6°F,8 mph,83%
Zanzibar,26.6°C / 79.9°F,13 mph,80%
Lomé,26.1°C / 79°F,15 mph,75%
Al,24.9°C / 76.8°F,7 mph,67%
Aş,25.2°C / 77.3°F,2 mph,73%
Bizerte,24.9°C / 76.9°F,10 mph,83%
Carthage,24.6°C / 76.2°F,1 mph,57%
Douane,24.8°C / 76.7°F,6 mph,71%
El,24.8°C / 76.7°F,7 mph,75%
Hammam-Lif,24.5°C / 76.1°F,3 mph,69%
Harqalah,24.9°C / 76.9°F,2 mph,78%
La,24.6°C / 76.2°F,3 mph,69%
Mahdia,25.5°C / 77.9°F,4 mph,64%
Menzel,25.1°C / 77.1°F,7 mph,88%
Monastir,25°C / 77°F,3 mph,65%
Port,25°C / 77°F,5 mph,58%
Şaqānis,25°C / 77°F,2 mph,73%
Sfax,26.3°C / 79.3°F,13 mph,55%
Sidi,24.6°C / 76.2°F,10 mph,33%
Sousse,25°C / 77°F,2 mph,73%
Tabarka,25.2°C / 77.4°F,15 mph,43%
Zouila,25.5°C / 77.9°F,6 mph,66%
Ad,18.7°C / 65.7°F,29 mph,78%
Chittagong,28.6°C / 83.5°F,14 mph,87%
Cox’s,29.3°C / 84.7°F,10 mph,81%
Krŏng,30.3°C / 86.6°F,11 mph,80%
Sihanoukville,30.3°C / 86.6°F,6 mph,79%
Anbu,28.1°C / 82.6°F,0 mph,79%
Beihai,30.6°C / 87°F,17 mph,78%
Chenghua,28°C / 82.4°F,4 mph,74%
Chengjiang,24.7°C / 76.4°F,11 mph,93%
Dalian,19.8°C / 67.7°F,7 mph,88%
Dasha,28.4°C / 83.1°F,8 mph,69%
Donghai,28.9°C / 84.1°F,13 mph,73%
Haikou,29.4°C / 85°F,4 mph,94%
Haimen,28.3°C / 83°F,16 mph,73%
Hangzhou,24.6°C / 76.2°F,7 mph,52%
Huanggang,27.3°C / 81.1°F,11 mph,77%
Humen,28.4°C / 83.2°F,11 mph,99%
Jiangkou,26.6°C / 79.9°F,11 mph,86%
Jiaojiang,24.2°C / 75.5°F,3 mph,81%
Jiazi,29.2°C / 84.6°F,16 mph,76%
Jieshi,29.1°C / 84.4°F,15 mph,88%
Jinzhou,19.9°C / 67.8°F,5 mph,90%
Longkou,21.8°C / 71.3°F,5 mph,85%
Luoyang,27.3°C / 81.2°F,14 mph,74%
Lüshun,19.8°C / 67.6°F,7 mph,73%
Nantong,26.1°C / 78.9°F,14 mph,94%
Ningde,23.7°C / 74.6°F,2 mph,75%
Qingdao,21.8°C / 71.2°F,8 mph,88%
Qinhuangdao,21.7°C / 71.1°F,1 mph,64%
Quanzhou,27.3°C / 81.2°F,11 mph,80%
Sanya,30.1°C / 86.1°F,0 mph,79%
Shantou,28.2°C / 82.7°F,0 mph,89%
Shanwei,29°C / 84.2°F,13 mph,78%
Shenzhen,28.6°C / 83.5°F,1 mph,92%
Shima,27.5°C / 81.5°F,5 mph,80%
Weihai,20.4°C / 68.8°F,7 mph,68%
Wenzhou,24.9°C / 76.8°F,0 mph,61%
Xiamen,27.6°C / 81.6°F,9 mph,70%
Xinhui,29.2°C / 84.5°F,8 mph,75%
Xiuying,29.6°C / 85.2°F,4 mph,75%
Yangjiang,29.3°C / 84.8°F,8 mph,82%
Yantai,20.4°C / 68.8°F,7 mph,80%
Yingkou,21°C / 69.8°F,4 mph,87%
Zhanjiang,29.8°C / 85.6°F,3 mph,87%
Zhongshan,29.9°C / 85.8°F,7 mph,79%
Zhuhai,29.1°C / 84.3°F,11 mph,89%
Dili,28.9°C / 84.1°F,5 mph,81%
Hong,28.9°C / 84.1°F,12 mph,81%
Kowloon,28.9°C / 84°F,12 mph,84%
Sok,29.1°C / 84.4°F,13 mph,77%
Tsuen,28.8°C / 83.8°F,3 mph,73%
Yung,29.1°C / 84.3°F,13 mph,77%
Airoli,30°C / 86°F,14 mph,94%
Alandur,29.4°C / 85°F,3 mph,94%
Alībāg,29.4°C / 85°F,16 mph,86%
Alleppey,28.2°C / 82.7°F,12 mph,83%
Ankola,28.9°C / 84.1°F,10 mph,88%
Badagara,28.2°C / 82.7°F,7 mph,86%
Bambolim,29.1°C / 84.3°F,14 mph,86%
Bamboo,29.3°C / 84.7°F,2 mph,94%
Beypore,28.1°C / 82.6°F,2 mph,88%
Bharūch,29.7°C / 85.5°F,11 mph,86%
Bhāvnagar,29.4°C / 85°F,11 mph,81%
Bhayandar,30.1°C / 86.1°F,14 mph,84%
Bilimora,29.6°C / 85.3°F,10 mph,88%
Borivli,30.1°C / 86.1°F,14 mph,94%
Calicut,28.1°C / 82.6°F,5 mph,88%
Canacona,28.9°C / 84.1°F,11 mph,88%
Candolim,29.1°C / 84.3°F,11 mph,88%
Cannanore,28.2°C / 82.8°F,7 mph,86%
Chāvakkād,28.2°C / 82.7°F,5 mph,87%
Chennai,29.4°C / 85°F,11 mph,89%
Chicalim,29.1°C / 84.3°F,11 mph,88%
Chinchani,29.6°C / 85.2°F,17 mph,83%
Cochin,28.3°C / 82.9°F,6 mph,85%
Coondapoor,28.8°C / 83.8°F,10 mph,85%
Cuddalore,29.2°C / 84.6°F,8 mph,77%
Dāhānu,29.6°C / 85.2°F,17 mph,83%
Damān,29.6°C / 85.2°F,12 mph,87%
Dhuwaran,31.1°C / 87.9°F,12 mph,81%
Diamond,31.2°C / 88.1°F,12 mph,79%
Diu,29.2°C / 84.6°F,16 mph,84%
Dwārka,29.3°C / 84.7°F,19 mph,80%
Gajuwaka,29.7°C / 85.4°F,5 mph,94%
Gāndhī,29.4°C / 85°F,5 mph,86%
Gangolli,28.8°C / 83.8°F,10 mph,85%
Ghogha,29.4°C / 85°F,11 mph,81%
Goa,29.1°C / 84.3°F,13 mph,89%
Gokarna,28.9°C / 84°F,13 mph,86%
Gopālpur,29.9°C / 85.8°F,10 mph,79%
Haldia,31.3°C / 88.4°F,15 mph,75%
Hansot,29.4°C / 85°F,13 mph,83%
Harnai,29.2°C / 84.6°F,16 mph,85%
Jāmnagar,29.4°C / 85°F,10 mph,86%
Jodiya,29.4°C / 84.9°F,12 mph,85%
Kākināda,29.7°C / 85.5°F,7 mph,93%
Kāndla,29.4°C / 84.9°F,13 mph,80%
Kānkon,28.9°C / 84.1°F,14 mph,85%
Karwar,28.9°C / 84.1°F,14 mph,85%
Kāsaragod,28.5°C / 83.3°F,8 mph,84%
Katpur,29.4°C / 84.9°F,12 mph,85%
Kattivākkam,29.5°C / 85.1°F,13 mph,87%
Kayalpattinam,28.2°C / 82.7°F,14 mph,78%
Keelakarai,29.1°C / 84.4°F,11 mph,56%
Kollam,27.6°C / 81.6°F,14 mph,75%
Kovalam,27.4°C / 81.4°F,10 mph,94%
Machilīpatnam,29.9°C / 85.8°F,10 mph,91%
Mahe,28.2°C / 82.7°F,8 mph,84%
Malpe,28.7°C / 83.7°F,13 mph,86%
Mālvan,29.2°C / 84.5°F,17 mph,85%
Manavalakurichi,27.2°C / 81°F,18 mph,80%
Māndvi,29.3°C / 84.8°F,17 mph,82%
Mangalore,28.6°C / 83.5°F,3 mph,94%
Manjeshwara,28.6°C / 83.4°F,9 mph,85%
Marmagao,29.1°C / 84.3°F,13 mph,89%
Morjim,29.1°C / 84.4°F,16 mph,84%
Mulappilangād,28.2°C / 82.7°F,6 mph,86%
Mumbai,30.1°C / 86.2°F,10 mph,89%
Murud,29.3°C / 84.8°F,15 mph,86%
Murudeshwara,28.8°C / 83.9°F,12 mph,84%
Nambutalai,29.7°C / 85.4°F,3 mph,71%
Navi,29.7°C / 85.5°F,14 mph,94%
Okha,29.3°C / 84.7°F,19 mph,82%
Ponnāni,28.1°C / 82.6°F,5 mph,85%
Porbandar,29.3°C / 84.8°F,17 mph,84%
Port,29.3°C / 84.7°F,2 mph,89%
Puducherry,29.3°C / 84.7°F,11 mph,78%
Puri,29.9°C / 85.9°F,11 mph,83%
Rameswaram,29.4°C / 85°F,3 mph,78%
Ratnāgiri,29.2°C / 84.6°F,15 mph,85%
Revadanda,29.4°C / 84.9°F,14 mph,86%
Solim,29.1°C / 84.3°F,14 mph,85%
Srīvardhan,29.3°C / 84.7°F,17 mph,85%
Sūrat,29.7°C / 85.5°F,8 mph,89%
Taleigao,29.1°C / 84.3°F,11 mph,88%
Thalassery,28.2°C / 82.7°F,8 mph,84%
Thāne,30°C / 86°F,14 mph,94%
Tiruvottiyūr,29.4°C / 85°F,13 mph,87%
Tondi,29.8°C / 85.6°F,8 mph,73%
Vagator,29.1°C / 84.4°F,16 mph,84%
Varkkallai,27.4°C / 81.4°F,12 mph,87%
Vāsco,29.1°C / 84.3°F,11 mph,88%
Vengurla,29.1°C / 84.4°F,13 mph,88%
Verāval,29.3°C / 84.8°F,17 mph,84%
Virār,29.7°C / 85.5°F,15 mph,85%
Vishākhapatnam,29.7°C / 85.4°F,5 mph,94%
Yārāda,29.7°C / 85.5°F,5 mph,94%
Amahai,28.3°C / 82.9°F,7 mph,90%
Ambon,28.3°C / 82.9°F,6 mph,94%
Balikpapan,29.8°C / 85.7°F,0 mph,88%
Banda,29.6°C / 85.3°F,14 mph,69%
Bandarlampung,29.5°C / 85.1°F,2 mph,80%
Banjar,29.2°C / 84.6°F,1 mph,85%
Banjarmasin,29.5°C / 85.1°F,2 mph,94%
Batang,29.9°C / 85.9°F,6 mph,67%
Belawan,30.2°C / 86.4°F,4 mph,87%
Bengkulu,29.9°C / 85.8°F,4 mph,88%
Bitung,29.8°C / 85.6°F,1 mph,89%
Bontang,30.3°C / 86.6°F,9 mph,91%
Cirebon,29.6°C / 85.3°F,7 mph,82%
City,29.9°C / 85.8°F,5 mph,87%
Denpasar,28.1°C / 82.6°F,10 mph,88%
Dumai,30.5°C / 86.9°F,3 mph,90%
Galesong,29.2°C / 84.6°F,4 mph,84%
Gresik,30.3°C / 86.5°F,8 mph,68%
Jayapura,29.9°C / 85.8°F,4 mph,89%
Kalianget,29.6°C / 85.3°F,16 mph,80%
Kamal,30.2°C / 86.4°F,8 mph,68%
Kendari,29.3°C / 84.7°F,3 mph,86%
Kijang,30.6°C / 87°F,10 mph,71%
Kupang,28.4°C / 83.1°F,7 mph,80%
Kuta,28.1°C / 82.5°F,9 mph,88%
Labuan,29.6°C / 85.3°F,6 mph,86%
Labuhanbajo,29.1°C / 84.3°F,4 mph,84%
Lhokseumawe,30.1°C / 86.1°F,10 mph,70%
Luwuk,29.8°C / 85.7°F,4 mph,95%
Majene,29.7°C / 85.4°F,5 mph,88%
Makassar,29.6°C / 85.2°F,7 mph,94%
Mamuju,30.1°C / 86.2°F,4 mph,92%
Manado,30.1°C / 86.2°F,3 mph,100%
Manggar,30.1°C / 86.2°F,10 mph,74%
Manokwari,29.9°C / 85.9°F,5 mph,69%
Mataram,28.9°C / 84.1°F,7 mph,86%
Maumere,28.4°C / 83.2°F,3 mph,63%
Meulaboh,29.8°C / 85.6°F,4 mph,84%
Muncar,28.2°C / 82.8°F,7 mph,83%
Paciran,30°C / 86°F,9 mph,76%
Padang,29.9°C / 85.8°F,3 mph,88%
Palu,29.3°C / 84.8°F,4 mph,95%
Panarukan,29.8°C / 85.6°F,2 mph,66%
Pariaman,29.8°C / 85.7°F,4 mph,81%
Pasuruan,29.9°C / 85.8°F,5 mph,78%
Pekalongan,30.1°C / 86.1°F,7 mph,87%
Pemalang,29.9°C / 85.9°F,4 mph,86%
Percut,30.2°C / 86.4°F,5 mph,92%
Polewali,29.6°C / 85.2°F,3 mph,86%
Pontianak,30.9°C / 87.7°F,4 mph,82%
Probolinggo,30.1°C / 86.1°F,6 mph,83%
Sabang,29.8°C / 85.7°F,7 mph,75%
Semarang,30°C / 86°F,3 mph,83%
Sibolga,29.7°C / 85.4°F,0 mph,62%
Singaraja,29.3°C / 84.8°F,5 mph,81%
Situbondo,29.8°C / 85.6°F,5 mph,81%
Sorong,30.3°C / 86.5°F,3 mph,88%
Sungairaya,31.1°C / 87.9°F,7 mph,62%
Surabaya,30.2°C / 86.3°F,6 mph,82%
